date,net_pnl,return_pct,trades_taken,trades_won,trades_lost,win_rate,gross_pnl,commissions,starting_equity,ending_equity,max_drawdown,max_drawdown_pct,market_regime
2025-01-03,0.0,0.0,0,0,0,0.0,0.0,0.0,100000,100000.0,0.0,0.0,
2025-01-06,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2025-01-07,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2025-01-08,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2025-01-10,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2025-01-13,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2025-01-14,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2025-01-15,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2025-01-16,0.0,3.9807,0,0,0,0.0,0.0,0.0,100000.0,103980.65,0.0,0.0,
2025-01-17,-22.77,-3.8511,1,0,1,0.0,-21.77,1.0,103980.65,99976.23,0.0,0.0,
2025-01-21,0.0,0.0,0,0,0,0.0,0.0,0.0,99976.23,99976.23,0.0,0.0,
2025-01-22,0.0,0.0,0,0,0,0.0,0.0,0.0,99976.23,99976.23,0.0,0.0,
2025-01-23,0.0,0.0,0,0,0,0.0,0.0,0.0,99976.23,99976.23,0.0,0.0,
2025-01-24,0.0,0.0,0,0,0,0.0,0.0,0.0,99976.23,99976.23,0.0,0.0,
2025-01-27,0.0,0.0,0,0,0,0.0,0.0,0.0,99976.23,99976.23,0.0,0.0,
2025-01-28,0.0,0.0,0,0,0,0.0,0.0,0.0,99976.23,99976.23,0.0,0.0,
2025-01-29,-32.84,-0.0339,1,0,1,0.0,-31.84,1.0,99976.23,99942.38,0.0,0.0,
2025-01-30,0.0,0.0,0,0,0,0.0,0.0,0.0,99942.38,99942.38,0.0,0.0,
2025-01-31,-2.3,0.0,1,0,1,0.0,-1.3,1.0,99942.38,99942.38,0.0,0.0,
