date,net_pnl,return_pct,trades_taken,trades_won,trades_lost,win_rate,gross_pnl,commissions,starting_equity,ending_equity,max_drawdown,max_drawdown_pct,market_regime
2025-01-03,0.0,0.0,0,0,0,0.0,0.0,0.0,100000,100000.0,0.0,0.0,
2025-01-06,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2025-01-07,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2025-01-08,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2025-01-10,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2025-01-13,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2025-01-14,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2025-01-15,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2025-01-16,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2025-01-17,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2025-01-21,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2025-01-22,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2025-01-23,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2025-01-24,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2025-01-27,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2025-01-28,0.0,0.0,0,0,0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,
2025-01-29,-28.51,-0.0295,1,0,1,0.0,-27.51,1.0,100000.0,99970.49,0.0,0.0,
2025-01-30,0.0,0.0,0,0,0,0.0,0.0,0.0,99970.49,99970.49,0.0,0.0,
2025-01-31,0.0,0.0,0,0,0,0.0,0.0,0.0,99970.49,99970.49,0.0,0.0,
